loan_amnt,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,title,addr_state,dti,delinq_2yrs,mths_since_last_delinq,mths_since_last_record,open_acc,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt_inv,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,policy_code,application_type,annual_inc_joint,verification_status_joint,acc_now_delinq,tot_cur_bal,duration_numeric,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_status
15000.0,36,12.49,501.74,B,mailhandler,10+ years,RENT,54000.0,Source Verified,Apr-2014,n,debt_consolidation,Debt consolidation,NY,16.09,1.0,20.0,,9.0,14619.0,72.4,23.0,w,7359.58,7359.58,10034.8,7640.42,2394.38,0.0,0.0,Dec-2015,501.74,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,17612.0,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,36,10.65,325.74,B,,6 years,MORTGAGE,150000.0,Source Verified,Feb-2012,n,major_purchase,Home Improvement,IL,10.72,0.0,37.0,,14.0,14797.0,47.7,37.0,f,0.0,0.0,11723.49,10000.0,1723.49,0.0,0.0,Feb-2015,337.23,,Jan-2016,1.0,INDIVIDUAL,,,0.0,,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25000.0,60,11.22,546.31,B,Interior Designer,9 years,RENT,50000.0,Not Verified,Nov-2015,n,debt_consolidation,Debt consolidation,NJ,32.2,1.0,17.0,,18.0,24731.0,71.1,31.0,w,24687.44,24687.44,530.73,312.56,218.17,0.0,0.0,Jan-2016,546.31,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,49272.0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3200.0,36,16.29,112.97,C,Secure Driving School,1 year,RENT,40000.0,Source Verified,Jan-2013,n,debt_consolidation,Lower My Payments,NY,17.67,0.0,27.0,,5.0,1117.0,12.7,16.0,f,0.0,0.0,1890.79,1064.0,517.34,309.45,3.0945000001,Apr-2014,112.97,,Aug-2014,1.0,INDIVIDUAL,,,0.0,6080.0,36,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20750.0,60,20.49,555.43,E,Sr. Architect,10+ years,RENT,180000.0,Source Verified,Apr-2015,n,house,Home buying,FL,15.62,0.0,31.0,83.0,15.0,2979.0,22.7,19.0,w,18811.2,18811.2,4975.25,1938.8,3036.45,0.0,0.0,Jan-2016,555.43,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,64160.0,60,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14650.0,60,15.61,353.24,D,Print Press Operator,8 years,MORTGAGE,41600.0,Not Verified,May-2015,n,debt_consolidation,Debt consolidation,KS,4.85,0.0,,58.0,5.0,5682.0,57.4,21.0,f,13465.91,13465.91,2459.98,1184.09,1275.89,0.0,0.0,Dec-2015,353.24,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,169911.0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20775.0,36,17.57,746.6,D,Sanitation lead,10+ years,MORTGAGE,49500.0,Verified,Aug-2015,n,debt_consolidation,Debt consolidation,OK,26.79,0.0,,56.0,14.0,9009.0,23.8,28.0,w,18966.08,18966.08,2945.84,1808.92,1136.92,0.0,0.0,Jan-2016,746.6,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,88134.0,36,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10000.0,36,12.05,332.39,C,President,8 years,MORTGAGE,60000.0,Verified,Nov-2015,n,home_improvement,Home improvement,WI,8.6,1.0,21.0,24.0,5.0,2284.0,28.5,25.0,f,9533.72,9533.72,651.39,466.28,185.11,0.0,0.0,Jan-2016,332.39,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,99200.0,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5000.0,36,15.31,174.09,C,ALLINA HEALTH SYSTEMS,10+ years,RENT,45000.0,Verified,Apr-2013,n,debt_consolidation,Debt consolidation,MN,15.57,1.0,20.0,,18.0,5535.0,31.1,28.0,f,0.0,0.0,5917.44,5000.0,917.44,0.0,0.0,Oct-2014,2958.31,,Oct-2015,1.0,INDIVIDUAL,,,0.0,7940.0,36,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6375.0,36,20.99,240.15,E,Receptionist,10+ years,RENT,38000.0,Verified,Dec-2015,n,debt_consolidation,Debt consolidation,TX,32.22,0.0,65.0,36.0,13.0,6192.0,62.5,26.0,w,6375.0,6375.0,0.0,0.0,0.0,0.0,0.0,,0.0,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,33042.0,36,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19425.0,60,8.9,402.29,A,,,MORTGAGE,44088.0,Verified,May-2013,n,credit_card,Lifesaver,CA,16.12,1.0,10.0,,9.0,19495.0,37.2,17.0,f,10145.82,10145.82,12860.86,9279.18,3581.68,0.0,0.0,Jan-2016,402.29,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,470428.0,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6000.0,36,11.53,197.95,B,Radio Producer II,3 years,RENT,36000.0,Not Verified,Jul-2015,n,debt_consolidation,Debt consolidation,MI,13.8,0.0,28.0,,14.0,5201.0,67.5,28.0,f,5137.72,5137.72,1183.86,862.28,321.58,0.0,0.0,Jan-2016,197.95,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,38435.0,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5000.0,36,9.99,161.32,B,OWN TRUCK DRIVER,3 years,OWN,40000.0,Source Verified,Aug-2015,n,debt_consolidation,Debt consolidation,TX,9.78,0.0,,,13.0,23746.0,34.9,15.0,w,4391.48,4391.48,803.82,608.52,195.3,0.0,0.0,Jan-2016,161.32,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,23746.0,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15000.0,60,14.65,354.1,C,Manufacturer,2 years,MORTGAGE,40000.0,Source Verified,Oct-2015,n,credit_card,Credit card refinancing,CO,31.62,0.0,,,8.0,33824.0,83.7,15.0,w,14480.79,14480.79,1050.09,519.21,530.88,0.0,0.0,Jan-2016,354.1,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,99051.0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0
13650.0,60,24.5,396.66,F,Blackjack Dealer,10+ years,MORTGAGE,60000.0,Source Verified,Mar-2014,n,debt_consolidation,Debt consolidation,CO,15.0,0.0,,,13.0,24916.0,68.5,16.0,w,10594.92,10594.92,8329.86,3055.08,5274.78,0.0,0.0,Dec-2015,396.66,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,164927.0,60,0,0,0,0,0,1,0,0,1,0,0,0,0,0
16800.0,60,14.48,395.1,C,Financial Consultant,2 years,RENT,90000.0,Not Verified,Dec-2015,n,debt_consolidation,Debt consolidation,PA,28.01,1.0,17.0,,19.0,22680.0,43.4,31.0,w,16607.62,16607.62,381.59,192.38,189.21,0.0,0.0,Jan-2016,395.1,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,55913.0,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6000.0,36,9.99,193.58,B,Attorney analyst,1 year,MORTGAGE,75000.0,Source Verified,Nov-2015,n,home_improvement,Home improvement,NJ,16.13,0.0,64.0,64.0,21.0,13642.0,45.3,60.0,w,5711.54,5711.54,382.16,288.46,93.7,0.0,0.0,Jan-2016,193.58,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,202763.0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6000.0,36,10.15,194.03,B,dental assistant,10+ years,OWN,25000.0,Not Verified,Jul-2014,n,credit_card,Credit card refinancing,TX,13.87,0.0,,112.0,7.0,8941.0,24.0,13.0,f,0.0,0.0,6691.71,6000.0,691.71,0.0,0.0,Dec-2015,3587.23,,Dec-2015,1.0,INDIVIDUAL,,,0.0,8941.0,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9000.0,36,10.64,293.12,B,Health Management Associates,7 years,MORTGAGE,120000.0,Not Verified,Aug-2013,n,credit_card,Credit card loan,FL,14.71,0.0,47.0,,11.0,12245.0,73.3,26.0,f,0.0,0.0,10329.01,9000.0,1329.01,0.0,0.0,Jul-2015,3884.39,,Jan-2016,1.0,INDIVIDUAL,,,0.0,364336.0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30000.0,36,18.25,1088.34,D,g.p.s enterprises,7 years,MORTGAGE,104000.0,Verified,May-2012,n,debt_consolidation,freedom,GA,19.04,0.0,,,13.0,15366.0,80.5,47.0,f,0.0,0.0,37930.94,30000.0,7962.55,0.0,0.0,Jun-2014,12971.13,,Jan-2016,1.0,INDIVIDUAL,,,0.0,,36,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12600.0,60,12.29,282.14,C,Recruitment Manager,10+ years,MORTGAGE,90000.0,Not Verified,Sep-2015,n,debt_consolidation,Debt consolidation,NJ,11.15,1.0,20.0,,10.0,3292.0,65.8,31.0,w,11978.15,11978.15,1152.62,621.85,530.77,0.0,0.0,Jan-2016,327.71,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,277497.0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0
15000.0,36,13.66,510.2,C,mental health worker scheduler,2 years,OWN,45000.0,Not Verified,Jan-2015,n,credit_card,Credit card refinancing,CA,18.13,0.0,,,13.0,5773.0,36.3,18.0,w,11046.1,11046.1,5600.82,3953.9,1646.92,0.0,0.0,Jan-2016,510.2,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,21853.0,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0
26400.0,60,16.99,655.97,D,Supervisor,10+ years,MORTGAGE,110000.0,Source Verified,Jul-2014,n,debt_consolidation,Debt consolidation,KY,20.15,1.0,18.0,62.0,17.0,22285.0,77.1,40.0,f,20660.58,20660.58,11807.46,5739.42,6068.04,0.0,0.0,Jan-2016,655.97,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,236205.0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10000.0,36,8.18,314.2,B,Bookkeeper,2 years,RENT,45990.0,Source Verified,May-2015,n,debt_consolidation,Debt consolidation,HI,20.57,0.0,,,10.0,13283.0,58.3,12.0,w,8242.14,8242.14,2194.86,1757.86,437.0,0.0,0.0,Jan-2016,314.2,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,33008.0,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,36,11.44,329.48,B,Drywall finisher,7 years,MORTGAGE,55000.0,Not Verified,Feb-2015,n,debt_consolidation,Debt consolidation,KS,18.66,0.0,72.0,,9.0,5588.0,42.0,16.0,f,7298.04,7298.04,3617.92,2701.96,915.96,0.0,0.0,Jan-2016,329.48,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,121336.0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20000.0,36,12.49,668.98,B,Manager of Finance,< 1 year,MORTGAGE,81000.0,Source Verified,Jun-2014,n,debt_consolidation,Debt consolidation,MA,19.36,0.0,,,5.0,3038.0,101.3,29.0,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Jan-2016,1.0,INDIVIDUAL,,,0.0,278785.0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20000.0,60,17.57,503.21,D,foreman,6 years,RENT,75000.0,Source Verified,Aug-2015,n,home_improvement,Home improvement,CA,25.97,0.0,,,10.0,13609.0,63.3,16.0,w,18916.86,18916.86,2496.53,1083.14,1413.39,0.0,0.0,Jan-2016,503.21,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,89894.0,60,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10000.0,36,8.38,315.12,B,,,RENT,145000.0,Not Verified,Dec-2015,n,debt_consolidation,Debt consolidation,MA,32.43,0.0,47.0,,21.0,14841.0,50.8,53.0,w,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,157213.0,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12000.0,36,7.49,373.22,A,Vice President,8 years,MORTGAGE,103000.0,Not Verified,Jan-2015,n,debt_consolidation,Debt consolidation,PA,34.16,0.0,25.0,,19.0,32775.0,83.8,47.0,f,8294.67,8294.67,4473.65,3705.33,768.32,0.0,0.0,Jan-2016,373.22,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,530017.0,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11200.0,60,19.2,291.77,D,Office Manager,10+ years,MORTGAGE,53165.0,Source Verified,Nov-2013,n,debt_consolidation,Debt consolidation,AK,24.13,0.0,31.0,,10.0,9414.0,50.1,24.0,f,0.0,0.0,13224.9,11200.0,2024.9,0.0,0.0,Nov-2014,10015.52,,Nov-2014,1.0,INDIVIDUAL,,,0.0,59366.0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6000.0,36,11.99,199.26,B,Assistant Area Director,10+ years,MORTGAGE,102000.0,Verified,Feb-2014,n,credit_card,Credit card refinancing,OH,12.92,3.0,12.0,,14.0,6809.0,53.6,39.0,w,2591.17,2591.17,4383.72,3408.83,974.89,0.0,0.0,Dec-2015,199.26,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,492597.0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6000.0,36,10.78,195.81,B,Radiology,10+ years,RENT,100000.0,Source Verified,Dec-2015,n,vacation,Vacation,NY,24.34,0.0,,,10.0,24537.0,69.7,15.0,w,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,,0.0,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,50970.0,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14775.0,60,18.99,383.2,E,Customer Service Rep III,6 years,RENT,49070.99,Source Verified,Jun-2014,n,debt_consolidation,Debt consolidation,CA,32.43,0.0,,,10.0,9070.0,49.6,11.0,w,11493.77,11493.77,7280.8,3281.23,3999.57,0.0,0.0,Jan-2016,383.2,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,35481.0,60,0,0,0,0,1,0,0,0,0,0,0,0,1,0
15000.0,36,6.62,460.56,A,,3 years,RENT,228000.0,Source Verified,Jul-2013,n,home_improvement,pole building loan,SC,14.04,0.0,,,15.0,48754.0,63.6,51.0,f,2716.48,2716.48,13809.73,12283.52,1526.21,0.0,0.0,Jan-2016,460.56,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,411205.0,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0
23075.0,60,12.99,524.91,C,President,5 years,MORTGAGE,110000.0,Verified,Feb-2015,n,other,Other,FL,19.9,0.0,43.0,51.0,8.0,40454.0,88.1,17.0,w,19879.41,19879.41,5757.36,3195.59,2561.77,0.0,0.0,Jan-2016,524.91,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,717094.0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35000.0,36,15.61,1223.77,D,Pharmacist,9 years,MORTGAGE,220000.0,Source Verified,Oct-2015,n,debt_consolidation,Debt consolidation,TX,20.65,1.0,5.0,,22.0,13024.0,29.1,60.0,w,33453.05,33453.05,2417.19,1546.95,870.24,0.0,0.0,Dec-2015,1223.77,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,376485.0,36,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14000.0,36,6.89,431.58,A,Marketing Manager,6 years,RENT,130000.0,Source Verified,Jul-2015,n,major_purchase,Major purchase,CA,8.34,1.0,7.0,,16.0,9911.0,71.3,32.0,f,0.0,0.0,14351.65,14000.0,351.65,0.0,0.0,Nov-2015,13067.63,,Dec-2015,1.0,INDIVIDUAL,,,0.0,62253.0,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30000.0,36,10.99,982.02,B,Registered Nurse,9 years,RENT,90000.0,Verified,Nov-2013,n,credit_card,Lending Club Loan,CT,6.96,0.0,,,15.0,18639.0,50.6,44.0,w,0.0,0.0,34591.93,30000.0,4591.93,0.0,0.0,Oct-2015,9461.99,,Oct-2015,1.0,INDIVIDUAL,,,0.0,23104.0,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19200.0,60,21.0,519.43,E,,10+ years,OWN,54000.0,Verified,Oct-2013,n,small_business,Business ,VT,16.98,0.0,55.0,,10.0,24170.0,47.7,24.0,f,12939.17,12939.17,14020.33,6260.83,7759.5,0.0,0.0,Jan-2016,519.43,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,250645.0,60,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16000.0,36,6.03,486.97,A,Good Earth Agri Products,10+ years,MORTGAGE,126000.0,Verified,May-2013,n,home_improvement,Home improvement,AZ,4.5,0.0,,,10.0,13401.0,67.3,26.0,w,2398.51,2398.51,15096.07,13601.49,1494.58,0.0,0.0,Dec-2015,486.97,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,506167.0,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14575.0,36,15.59,509.47,D,Project Coordinator,1 year,MORTGAGE,58000.0,Verified,Nov-2014,n,debt_consolidation,Debt consolidation,VA,3.15,0.0,,,6.0,3549.0,43.3,11.0,f,9694.53,9694.53,7107.33,4880.47,2226.86,0.0,0.0,Jan-2016,509.47,Feb-2016,Dec-2015,1.0,INDIVIDUAL,,,0.0,112021.0,36,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12000.0,36,7.9,375.49,A,Honeywell International Inc.,4 years,RENT,75000.0,Not Verified,Jan-2013,n,debt_consolidation,Credit Card Debt Consolidation,TX,12.78,0.0,,,19.0,9095.0,45.2,27.0,f,0.0,0.0,13169.67,12000.0,1224.77,0.0,0.0,Oct-2014,40.45,,Oct-2014,1.0,INDIVIDUAL,,,0.0,51403.0,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6000.0,36,6.39,183.6,A,Software Implementation Consultant,1 year,MORTGAGE,120000.0,Not Verified,Mar-2015,n,medical,Medical expenses,NC,18.19,0.0,,,23.0,38756.0,30.1,40.0,w,4605.71,4605.71,1650.27,1394.29,255.98,0.0,0.0,Dec-2015,183.6,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,474218.0,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12000.0,36,12.69,402.54,C,Surgical technologist,10+ years,OWN,40000.0,Source Verified,Feb-2015,n,debt_consolidation,Debt consolidation,WI,23.76,0.0,49.0,78.0,12.0,11225.0,62.4,34.0,w,9108.66,9108.66,4008.48,2891.34,1117.14,0.0,0.0,Dec-2015,402.54,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,36159.0,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6000.0,36,8.19,188.55,A,Embalmer,10+ years,MORTGAGE,80000.0,Not Verified,Dec-2014,n,debt_consolidation,Debt consolidation,TN,10.83,0.0,40.0,,9.0,7329.0,61.6,22.0,f,4478.9,4478.9,1897.77,1521.1,361.67,0.0,0.0,Oct-2015,392.1,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,186473.0,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19200.0,60,13.99,446.66,C,Project Coordinator,10+ years,MORTGAGE,66408.0,Not Verified,Aug-2015,n,debt_consolidation,Debt consolidation,KS,35.8,0.0,,60.0,9.0,8875.0,72.2,32.0,w,18293.01,18245.37,1767.11,906.99,864.73,0.0,0.0,Dec-2015,446.66,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,145269.0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35000.0,60,9.99,743.48,B,driver,10+ years,MORTGAGE,85000.0,Verified,Sep-2015,n,credit_card,Credit card refinancing,FL,18.4,0.0,,,15.0,33872.0,66.0,27.0,w,33168.87,33168.87,2925.36,1831.13,1094.23,0.0,0.0,Jan-2016,743.48,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,183145.0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7000.0,36,10.99,229.14,B,Teacher,10+ years,OWN,51000.0,Source Verified,Nov-2013,n,home_improvement,Repair Roof,TX,14.66,2.0,19.0,,11.0,6743.0,73.3,27.0,w,2180.0,2180.0,5957.64,4820.0,1137.64,0.0,0.0,Jan-2016,229.14,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,26622.0,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4800.0,36,6.49,147.1,A,teacher,10+ years,MORTGAGE,40500.0,Not Verified,Jan-2015,n,debt_consolidation,Debt consolidation,MO,22.99,0.0,,,19.0,6163.0,12.2,30.0,w,0.0,0.0,4962.18,4800.0,162.18,0.0,0.0,Jul-2015,4230.14,,Jul-2015,1.0,INDIVIDUAL,,,0.0,159974.0,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14000.0,36,12.69,469.63,C,Director of Compliance,< 1 year,RENT,60000.0,Source Verified,Sep-2015,n,debt_consolidation,Debt consolidation,IL,14.26,0.0,56.0,,11.0,9965.0,71.2,44.0,w,12381.8,12381.8,2175.32,1618.2,557.12,0.0,0.0,Jan-2016,550.0,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,100044.0,36,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10000.0,36,13.11,337.47,B,CLAIRE'S MONTESSORI INTERNATIONAL ACADEM,10+ years,MORTGAGE,50000.0,Not Verified,Feb-2013,n,debt_consolidation,Debt consolidation,CA,23.33,0.0,,,13.0,8963.0,54.0,20.0,w,0.0,0.0,11972.06,10000.0,1972.06,0.0,0.0,Apr-2015,3535.31,,Jul-2015,1.0,INDIVIDUAL,,,0.0,175636.0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
